date,ticker,predicted_return,actual_return
2023-10-05,OKZ.zw,0.010262486,0.0
2023-10-05,SEED.zw,0.0030456246,0.0
2023-10-06,AFDIS.zw,0.0029080533,0.1499185225420969
2023-10-06,BAT.zw,0.0054414766,0.0
2023-10-06,CAFCA.zw,0.021169372,0.0
2023-10-06,CBZ.zw,0.0059945686,0.0
2023-10-06,DLTA.zw,0.006372861,0.0003149110376317
2023-10-06,DZL.zw,0.003850484,0.0
2023-10-06,ECO.zw,0.0040246276,0.0394301904611993
2023-10-06,OKZ.zw,0.0035074363,0.0
2023-10-06,SEED.zw,0.0033589704,0.1212235935488756
2023-10-09,AFDIS.zw,0.0046493514,0.0810372771474878
2023-10-09,BAT.zw,0.010592967,0.0
2023-10-09,CAFCA.zw,0.0051470376,0.0
2023-10-09,CBZ.zw,0.0039397213,0.0
2023-10-09,DLTA.zw,0.0037282514,0.0
2023-10-09,DZL.zw,0.0044674417,0.125
2023-10-09,ECO.zw,0.0072099143,0.1584763173968573
2023-10-09,OKZ.zw,0.01839675,-0.0408378469060058
2023-10-09,SEED.zw,0.008615345,0.0226875218629754
2023-10-10,AFDIS.zw,0.017899517,-0.0026875152699732
2023-10-10,BAT.zw,0.0040112585,0.0001959823615875
2023-10-10,CAFCA.zw,0.01624434,0.0782306260409522
2023-10-10,CBZ.zw,0.0062380764,0.0363908954613603
2023-10-10,DLTA.zw,0.01557743,-0.0351130983692793
2023-10-10,DZL.zw,0.011808205,0.0
2023-10-10,ECO.zw,0.00974167,0.090909090909091
2023-10-10,OKZ.zw,0.012069506,0.0
2023-10-10,SEED.zw,0.0205286,0.0833333333333332
2023-10-11,AFDIS.zw,0.017092228,0.1384692269249989
2023-10-11,BAT.zw,0.020370085,0.0810737801789636
2023-10-11,CAFCA.zw,0.02987859,0.1500187406296851
2023-10-11,CBZ.zw,0.026686471,-0.1500040739835412
2023-10-11,DLTA.zw,0.007320296,0.0
2023-10-11,DZL.zw,0.0042155334,0.1499872188139059
2023-10-11,ECO.zw,0.015507046,0.1286746318421783
2023-10-11,OKZ.zw,0.034928683,0.0
2023-10-11,SEED.zw,0.029877424,0.0
2023-10-12,AFDIS.zw,0.019140128,0.0
2023-10-12,BAT.zw,0.010305455,0.0
2023-10-12,CAFCA.zw,0.014540655,0.0
2023-10-12,CBZ.zw,0.0032125385,0.0
2023-10-12,DLTA.zw,0.0036706338,0.0
2023-10-12,DZL.zw,0.0024701196,-0.1134142438640111
2023-10-12,ECO.zw,0.003568777,0.0
2023-10-12,OKZ.zw,0.0033906111,-0.1498861553840172
2023-10-12,SEED.zw,0.003162929,0.0
2023-10-13,AFDIS.zw,0.0034800032,0.0
2023-10-13,BAT.zw,0.0034800032,0.0326626600470343
2023-10-13,CAFCA.zw,0.0037588812,0.0
2023-10-13,CBZ.zw,0.0038114553,-0.0379554655870445
2023-10-13,DLTA.zw,0.00422055,0.0
2023-10-13,DZL.zw,0.0038381072,0.0
2023-10-13,ECO.zw,0.0036245799,0.0
2023-10-13,OKZ.zw,0.0055496534,0.0
2023-10-13,SEED.zw,0.0036391062,0.0
2023-10-16,AFDIS.zw,0.0034800032,0.0
2023-10-16,BAT.zw,0.0033952522,-0.0526367701209888
2023-10-16,CAFCA.zw,0.0029134373,0.0277633177164668
2023-10-16,CBZ.zw,0.0036032286,0.0
2023-10-16,DLTA.zw,0.0025667534,0.1483707580617932
2023-10-16,DZL.zw,0.0037075835,0.1500191125878445
2023-10-16,ECO.zw,0.0141019095,0.1255656976298231
2023-10-16,OKZ.zw,0.016998854,0.0
2023-10-16,SEED.zw,0.02034922,0.0
2023-10-17,AFDIS.zw,0.0036872202,-0.0909090909090909
2023-10-17,BAT.zw,0.0030915125,0.0
2023-10-17,CAFCA.zw,0.002900117,0.0
2023-10-17,CBZ.zw,0.0023049084,0.0
2023-10-17,DLTA.zw,0.0021075488,0.0
2023-10-17,DZL.zw,0.0028160494,0.0
2023-10-17,ECO.zw,0.002777222,0.1199150424787605
2023-10-17,OKZ.zw,0.006351237,-0.1070751243892097
2023-10-17,SEED.zw,0.009704031,-0.0360569715142428
2023-10-18,AFDIS.zw,0.0059658773,0.0
2023-10-18,BAT.zw,0.0042955126,0.0
2023-10-18,CAFCA.zw,0.006628277,0.0
2023-10-18,CBZ.zw,0.0034800032,0.0
2023-10-18,DLTA.zw,0.0032995772,0.0
2023-10-18,DZL.zw,0.0034800032,-0.5
2023-10-18,ECO.zw,0.0036956484,0.0
2023-10-18,OKZ.zw,0.002950963,-0.0126582278481013
2023-10-18,SEED.zw,0.0028133816,0.0
2023-10-19,AFDIS.zw,0.0038776675,-0.0685897435897437
2023-10-19,BAT.zw,0.0045857765,0.0
2023-10-19,CAFCA.zw,0.003069008,0.0006882312456983
2023-10-19,CBZ.zw,0.0031519758,0.0041265474552958
2023-10-19,DLTA.zw,0.0032905473,0.0
2023-10-19,DZL.zw,0.0025702706,0.0006849315068493
2023-10-19,ECO.zw,0.0023327763,-0.0143737166324435
2023-10-19,OKZ.zw,0.0028670668,0.0
2023-10-19,SEED.zw,0.0027608373,0.0145833333333333
2023-10-20,AFDIS.zw,0.0031117212,-0.0143737166324435
2023-10-20,BAT.zw,0.0023334248,0.0
2023-10-20,CAFCA.zw,0.0027484319,0.0
2023-10-20,CBZ.zw,0.0026615912,0.0
2023-10-20,DLTA.zw,0.0027959335,0.0
2023-10-20,DZL.zw,0.0023654504,0.0277777777777779
2023-10-20,ECO.zw,0.0032301997,0.0
2023-10-20,OKZ.zw,0.0026861746,0.0
2023-10-20,SEED.zw,0.0030514963,-0.027027027027027
2023-10-23,AFDIS.zw,0.00295865,0.0
2023-10-23,BAT.zw,0.0029760823,0.0
2023-10-23,CAFCA.zw,0.0030395691,0.0
2023-10-23,CBZ.zw,0.003186556,0.0
2023-10-23,DLTA.zw,0.0027932157,0.0
2023-10-23,DZL.zw,0.002181531,0.0006944444444443
2023-10-23,ECO.zw,0.0023321114,0.0
2023-10-23,OKZ.zw,0.0022878947,0.0
2023-10-23,SEED.zw,0.002688254,0.0
2023-10-24,AFDIS.zw,0.0026961367,-0.0006939625260234
2023-10-24,BAT.zw,0.002653348,0.0
2023-10-24,CAFCA.zw,0.0024671652,0.0
2023-10-24,CBZ.zw,0.0026040254,0.0
2023-10-24,DLTA.zw,0.0022413353,0.0
2023-10-24,DZL.zw,0.0019361429,0.0
2023-10-24,ECO.zw,0.0020897067,0.0
2023-10-24,OKZ.zw,0.002083927,0.0
2023-10-24,SEED.zw,0.002091908,0.0055555555555557
2023-10-25,AFDIS.zw,0.002114063,0.0227900552486184
2023-10-25,BAT.zw,0.0023358301,-0.0114787305874408
2023-10-25,CAFCA.zw,0.0023339961,0.092896174863388
2023-10-25,CBZ.zw,0.003541186,0.0001249999999999
2023-10-25,DLTA.zw,0.0035520678,0.0
2023-10-25,DZL.zw,0.0038494861,0.124859392575928
2023-10-25,ECO.zw,0.0131098945,0.1111111111111111
2023-10-25,OKZ.zw,0.022720814,0.02
2023-10-25,SEED.zw,0.016134994,0.127450980392157
2023-10-26,AFDIS.zw,0.026744504,0.1286956521739135
2023-10-26,BAT.zw,0.029165532,0.0
2023-10-26,CAFCA.zw,0.03480322,0.1479198767334355
2023-10-26,CBZ.zw,0.025338102,0.0805369127516781
2023-10-26,DLTA.zw,0.023022912,0.1118012422360243
2023-10-26,DZL.zw,0.033608727,0.1173184357541901
2023-10-26,ECO.zw,0.028807942,-0.0100000000000001
2023-10-26,OKZ.zw,0.025175363,0.0
2023-10-26,SEED.zw,0.011275625,0.0101010101010099
2023-10-27,AFDIS.zw,0.0123719815,0.0
2023-10-27,BAT.zw,0.009412004,0.0
2023-10-27,CAFCA.zw,0.004875346,0.1000000000000003
2023-10-27,CBZ.zw,0.0049086357,0.1499999999999997
2023-10-27,DLTA.zw,0.008533776,0.0671936758893281
2023-10-27,DZL.zw,0.00997756,0.1222222222222222
2023-10-27,ECO.zw,0.015506805,-0.0429042904290427
2023-10-27,OKZ.zw,0.008462697,-0.0344827586206896
2023-10-27,SEED.zw,0.004793957,0.0714285714285714
2023-10-30,AFDIS.zw,0.0068825474,0.0333333333333332
2023-10-30,BAT.zw,0.009664212,0.0
2023-10-30,CAFCA.zw,0.002929737,-0.032258064516129
2023-10-30,CBZ.zw,0.003184013,0.0
2023-10-30,DLTA.zw,0.006633293,0.0
2023-10-30,DZL.zw,0.00620859,0.0499999999999998
